customer_id,signup_date,order_date,order_id,revenue,funnel_stage,channel,country
10860,2022-09-10,2023-01-23,ORD100000,10.75,Repeat Purchase,Paid Ads,France
11294,2022-05-16,2023-02-25,ORD100001,93.31,Visit,Social Media,USA
11130,2022-07-29,2023-03-16,ORD100002,288.27,Purchase,Email,India
11095,2021-03-17,2022-01-30,ORD100003,0.78,Visit,Social Media,UK
11638,2021-11-12,2021-11-20,ORD100004,21.91,Visit,Organic,UK
12169,2023-04-13,2023-11-23,ORD100005,202.2,Purchase,Referral,UK
10466,2022-01-08,2022-11-16,ORD100006,269.21,Signup,Email,France
11238,2021-03-22,2021-07-06,ORD100007,147.38,Purchase,Email,Germany
10330,2023-05-23,2023-11-25,ORD100008,572.98,Repeat Purchase,Email,UK
11482,2022-10-02,2023-05-10,ORD100009,11.35,Repeat Purchase,Organic,France
12135,2022-11-26,2023-02-28,ORD100010,94.67,Repeat Purchase,Organic,UK
10130,2023-01-25,2023-08-07,ORD100011,138.62,Signup,Referral,USA
11685,2022-11-28,2023-07-27,ORD100012,145.54,Visit,Paid Ads,France
10769,2023-01-02,2023-08-19,ORD100013,189.29,Visit,Referral,India
12391,2021-03-12,2022-02-05,ORD100014,299.58,Signup,Email,France
11515,2023-05-04,2023-05-08,ORD100015,53.86,Signup,Email,USA
12433,2022-10-28,2023-10-13,ORD100016,5.27,Repeat Purchase,Email,India
11215,2023-01-27,2023-01-30,ORD100017,54.01,Signup,Referral,UK
10955,2022-10-14,2023-07-04,ORD100018,133.63,Visit,Paid Ads,France
12324,2021-03-12,2021-11-19,ORD100019,28.81,Purchase,Paid Ads,USA
11184,2021-02-15,2021-07-27,ORD100020,199.27,Visit,Referral,India
10459,2021-02-16,2021-07-06,ORD100021,29.78,Visit,Email,Germany
10021,2022-08-14,2023-09-06,ORD100022,1.21,Purchase,Referral,France
12300,2022-02-26,2022-12-18,ORD100023,85.13,Visit,Referral,France
10747,2021-05-29,2021-06-16,ORD100024,155.56,Purchase,Social Media,UK
10474,2021-05-10,2021-07-30,ORD100025,51.63,Visit,Social Media,Germany
11082,2022-04-01,2023-04-16,ORD100026,165.83,Signup,Organic,UK
12047,2022-10-01,2022-10-04,ORD100027,69.24,Purchase,Organic,Germany
10975,2023-05-27,2023-10-01,ORD100028,22.61,Purchase,Referral,India
11806,2022-09-23,2023-03-28,ORD100029,11.39,Repeat Purchase,Social Media,India
10189,2023-05-19,2023-10-11,ORD100030,148.79,Visit,Email,France
10562,2022-05-20,2022-10-18,ORD100031,58.48,Purchase,Organic,France
11899,2023-02-13,2024-02-10,ORD100032,292.71,Visit,Email,India
11267,2021-09-01,2021-12-02,ORD100033,93.25,Purchase,Email,Germany
11528,2022-04-19,2022-05-19,ORD100034,51.4,Repeat Purchase,Organic,UK
10646,2022-01-17,2022-11-26,ORD100035,51.51,Purchase,Referral,India
12068,2021-04-13,2021-05-10,ORD100036,16.91,Visit,Social Media,India
12214,2022-05-04,2022-09-17,ORD100037,108.11,Visit,Organic,USA
11297,2021-02-06,2021-05-06,ORD100038,104.72,Signup,Paid Ads,France
12435,2022-10-16,2022-12-03,ORD100039,193.13,Visit,Paid Ads,Germany
10600,,,ORD100040,26.96,Signup,Email,UK
12363,2022-06-04,2023-02-16,ORD100041,41.23,Signup,Paid Ads,USA
12061,2023-01-13,2023-01-18,ORD100042,-12.28,Visit,Email,USA
10241,2021-11-29,2021-12-27,ORD100043,42.01,Purchase,Social Media,India
12041,2022-02-01,2022-07-06,ORD100044,67.06,Repeat Purchase,Organic,France
11363,2021-10-23,2022-07-12,ORD100045,399.0,Purchase,Organic,India
12139,2021-04-17,2021-05-20,ORD100046,127.03,Visit,Social Media,USA
11390,2023-05-10,2024-01-01,ORD100047,183.27,Signup,Email,USA
11478,2022-06-14,2022-10-29,ORD100048,47.26,Visit,Referral,UK
10775,2023-04-05,2024-04-06,ORD100049,18.73,Purchase,Paid Ads,India
10034,2021-03-24,2021-05-19,ORD100050,35.6,Purchase,Social Media,India
12253,2021-10-15,2022-04-07,ORD100051,35.56,Signup,Paid Ads,Germany
11955,2022-12-07,2023-07-08,ORD100052,104.99,Signup,Referral,UK
11585,2022-04-06,2022-05-02,ORD100053,50.13,Purchase,Email,France
11021,2021-08-03,2022-05-24,ORD100054,233.72,Visit,Paid Ads,India
11129,2021-10-08,2022-02-03,ORD100055,536.31,Visit,Email,India
11500,2023-01-02,2023-05-28,ORD100056,50.46,Visit,Referral,France
10702,2022-04-04,2023-03-25,ORD100057,146.52,Signup,Email,UK
12449,2023-03-12,2023-12-01,ORD100058,128.57,Repeat Purchase,Referral,India
11579,2021-12-10,2022-08-24,ORD100059,25.95,Repeat Purchase,Organic,France
10161,2021-07-13,2022-06-25,ORD100060,300.14,Visit,Paid Ads,Germany
10201,2021-06-07,2021-12-12,ORD100061,26.69,Visit,Paid Ads,India
11981,2022-04-10,2023-02-18,ORD100062,-160.25,Signup,Referral,France
10995,2021-04-14,2021-11-30,ORD100063,51.25,Repeat Purchase,Referral,USA
12317,,,ORD100064,54.89,Visit,Social Media,India
10815,2021-04-12,2021-12-06,ORD100065,72.94,Repeat Purchase,Referral,Germany
10455,2022-10-01,2023-08-23,ORD100066,239.86,Visit,Referral,France
11275,2022-12-27,2023-03-06,ORD100067,18.13,Repeat Purchase,Email,France
11016,2021-11-21,2022-07-30,ORD100068,6.73,Purchase,Email,India
12343,2023-03-19,2023-09-27,ORD100069,61.71,Repeat Purchase,Paid Ads,USA
10337,,,ORD100070,6.86,Repeat Purchase,Email,France
10878,2022-08-15,2022-10-23,ORD100071,139.62,Visit,Email,France
11076,2021-05-21,2021-10-23,ORD100072,171.42,Purchase,Paid Ads,USA
10791,2022-04-19,2022-09-11,ORD100073,231.48,Purchase,Organic,Germany
12264,2021-01-31,2021-12-15,ORD100074,163.44,Repeat Purchase,Social Media,India
10763,2023-06-03,2024-01-07,ORD100075,297.74,Signup,Email,India
12235,2021-03-04,2021-04-21,ORD100076,165.54,Signup,Organic,India
10379,2022-07-14,2023-07-27,ORD100077,330.01,Purchase,Social Media,UK
10492,2021-03-28,2022-04-11,ORD100078,25.75,Visit,Paid Ads,India
11180,2021-10-31,2022-05-12,ORD100079,83.14,Purchase,Email,USA
12062,2021-03-02,2021-04-10,ORD100080,612.54,Visit,Email,India
10064,2022-01-31,2022-04-25,ORD100081,137.33,Visit,Referral,Germany
11367,2021-11-30,2022-11-07,ORD100082,253.08,Signup,Email,UK
11152,2023-02-25,2024-01-26,ORD100083,3.7,Purchase,Email,USA
12027,2022-02-15,2022-02-18,ORD100084,246.46,Purchase,Organic,USA
11495,2021-10-11,2022-07-27,ORD100085,143.57,Repeat Purchase,Organic,Germany
11162,2022-04-11,2022-12-13,ORD100086,22.47,Visit,Email,India
11522,2021-03-21,2021-03-25,ORD100087,3.12,Visit,Social Media,UK
10391,2022-11-23,2023-07-06,ORD100088,36.12,Signup,Paid Ads,UK
11698,2023-02-23,2023-07-22,ORD100089,296.91,Visit,Organic,UK
10418,2021-03-18,2021-11-10,ORD100090,132.36,Visit,Social Media,USA
12336,2023-01-03,2023-05-30,ORD100091,302.29,Visit,Email,Germany
10378,2023-03-05,2023-06-15,ORD100092,70.9,Signup,Referral,USA
11796,2022-06-24,2022-12-15,ORD100093,331.05,Purchase,Organic,India
12278,2021-12-27,2022-08-19,ORD100094,74.6,Purchase,Organic,France
12088,2021-03-18,2021-04-20,ORD100095,27.42,Signup,Referral,UK
12182,,,ORD100096,19.7,Visit,Email,UK
10200,2021-06-13,2021-06-18,ORD100097,610.21,Visit,Organic,UK
11863,2021-01-09,2021-10-20,ORD100098,48.75,Visit,Email,USA
10779,2021-06-24,2022-02-03,ORD100099,20.93,Signup,Social Media,UK
10502,2022-04-07,2022-05-29,ORD100100,1.01,Signup,Organic,UK
12454,2021-11-03,2022-07-17,ORD100101,40.35,Visit,Email,France
11751,2022-08-11,2022-10-08,ORD100102,-263.91,Repeat Purchase,Social Media,Germany
10804,2021-09-02,2022-05-05,ORD100103,91.63,Signup,Organic,India
12146,2021-05-02,2021-05-08,ORD100104,120.1,Visit,Paid Ads,USA
11895,2021-07-04,2022-02-02,ORD100105,306.73,Signup,Email,India
11570,2021-02-01,2021-04-19,ORD100106,86.3,Visit,Social Media,Germany
10960,2023-02-01,2023-08-08,ORD100107,218.63,Signup,Paid Ads,India
11485,2022-07-23,2023-05-25,ORD100108,46.96,Visit,Email,USA
11028,2021-11-06,2022-06-09,ORD100109,453.2,Visit,Organic,France
10502,2022-01-07,2022-10-16,ORD100110,9.85,Signup,Email,India
10397,2022-10-18,2023-09-01,ORD100111,154.84,Signup,Social Media,Germany
10870,2023-04-10,2023-06-09,ORD100112,129.66,Visit,Organic,USA
10392,2022-08-19,2022-10-18,ORD100113,25.53,Purchase,Organic,Germany
10206,2021-02-25,2021-09-27,ORD100114,59.09,Visit,Organic,India
11038,,,ORD100115,45.02,Purchase,Referral,USA
